,VehId,Engine Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight
0,2,ICE,Car,4-FI 2.0L T/C,NO DATA,NO DATA,3500
1,5,HEV,Car,4-GAS/ELECTRIC 2.0L,NO DATA,NO DATA,3500
2,7,ICE,SUV,6-FI 3.6L,AUTOMATIC,NO DATA,4500
3,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500
4,12,ICE,Car,4-FI 1.8L,NO DATA,NO DATA,2500
5,108,ICE,NO DATA,8-4V/FI 6.0L,6-SP AUTOMATIC,NO DATA,6000
6,110,ICE,NO DATA,6-FI 3.6L,NO DATA,NO DATA,4500
7,115,HEV,NO DATA,4-GAS/ELECTRIC 2.5L,NO DATA,NO DATA,3500
8,116,ICE,NO DATA,10-FI 6.8L,NO DATA,NO DATA,NO DATA
9,119,ICE,NO DATA,8-DSL 6.7L T/C,NO DATA,NO DATA,6500
10,120,ICE,NO DATA,8-4V/FI 6.0L,NO DATA,NO DATA,6000
11,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500
12,124,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
13,125,HEV,NO DATA,4-GAS/ELECTRIC 2.4L,NO DATA,NO DATA,3500
14,126,ICE,NO DATA,8-FI 4.7L,NO DATA,NO DATA,4000
15,128,ICE,NO DATA,6-FI 3.4L,NO DATA,NO DATA,3500
16,129,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,4000
17,130,ICE,NO DATA,4-FI 2.4L,CVT,NO DATA,3500
18,131,ICE,NO DATA,8-FI 5.3L ,NO DATA,NO DATA,5500
19,132,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,3500
20,133,ICE,NO DATA,4-FI 2.4L,5-SP AUTOMATIC,NO DATA,3500
21,135,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
22,137,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,3000
23,138,ICE,NO DATA,4-FI 2.0L PZEV,NO DATA,NO DATA,2500
24,139,ICE,NO DATA,4-FI 2.0L,AUTOMATIC/CVT,NO DATA,3000
25,140,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
26,141,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
27,142,ICE,NO DATA,4-FI 2.5L,AUTOMATIC/CVT,NO DATA,3500
28,143,ICE,NO DATA,8-FI 4.8L,NO DATA,NO DATA,5500
29,145,ICE,NO DATA,4-FI 2.4L,5-SP AUTOMATIC,NO DATA,3500
30,147,ICE,NO DATA,4-FI 2.4L,CVT,NO DATA,3500
31,148,ICE,NO DATA,4-FI 2.2L,NO DATA,NO DATA,3000
32,149,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500
33,150,HEV,NO DATA,4-FI 1.3L GAS/ELEC.,CVT,NO DATA,2500
34,153,ICE,NO DATA,5-FI 2.5L,NO DATA,NO DATA,3000
35,154,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
36,155,ICE,NO DATA,5-FI 2.5L,NO DATA,NO DATA,3000
37,156,ICE,NO DATA,6-FI 3.5L,6-SP ECT AUTOMATIC,NO DATA,4500
38,157,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,3500
39,159,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,2500
40,160,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,4000
41,161,ICE,NO DATA,4-FI 1.8L,NO DATA,NO DATA,3000
42,162,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
43,163,ICE,NO DATA,6-FI 3.5L,5-SP AUTOMATIC,NO DATA,4500
44,164,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4500
45,165,ICE,NO DATA,6-FI 3.5L,AUTOMATIC,NO DATA,3500
46,167,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4500
47,169,ICE,NO DATA,6-FI 3.7L,NO DATA,NO DATA,5000
48,172,ICE,NO DATA,8-FI 4.8L,NO DATA,NO DATA,5500
49,174,ICE,NO DATA,4-FI 2.2L,NO DATA,NO DATA,3000
50,176,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3500
51,179,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
52,180,ICE,NO DATA,4-FI 1.6L,NO DATA,NO DATA,2500
53,181,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3000
54,184,ICE,NO DATA,4-FI 2.3L T/C,NO DATA,NO DATA,4500
55,185,ICE,NO DATA,4-FI 1.5L,5-SP AUTOMATIC,NO DATA,2500
56,187,ICE,NO DATA,4-FI 1.5L,5-SP AUTOMATIC,NO DATA,2500
